timestamp,license_plate,confidence,vehicle_type,speed,violations
2025-03-29 19:44:03.680,@IIZNRWF,0.06,Unknown,0.0,None
2025-03-29 19:44:03.680,WESU,0.10,Car,1.3,Lane Crossing
2025-03-29 19:44:03.680,@IIZNRWF,0.06,Car,1.5,Lane Crossing
2025-03-29 19:44:03.680,@IIZNRWF,0.06,Car,1.9,Lane Crossing
2025-03-29 19:44:04.592,JOSW,0.14,Unknown,0.0,None
2025-03-29 19:44:04.592,NAIJNRU,0.20,Unknown,0.0,None
2025-03-29 19:44:04.592,JOSW,0.14,Car,1.4,Lane Crossing
2025-03-29 19:44:04.592,NAIJNRU,0.20,Car,1.4,Lane Crossing
2025-03-29 19:44:04.592,NAIJNRU,0.20,Car,2.4,Lane Crossing
2025-03-29 19:44:05.689,WEISU,0.20,Unknown,0.0,None
2025-03-29 19:44:05.689,ETNIIRW,0.02,Unknown,0.0,None
2025-03-29 19:44:05.689,WEISU,0.20,Car,1.3,Lane Crossing
2025-03-29 19:44:05.689,ETNIIRW,0.02,Car,1.3,Lane Crossing
2025-03-29 19:44:05.689,ETNIIRW,0.02,Car,2.4,Lane Crossing
2025-03-29 19:44:06.515,WSISU,0.42,Unknown,0.0,None
2025-03-29 19:44:06.515,NAJNRU,0.54,Unknown,0.0,None
2025-03-29 19:44:06.515,WSISU,0.42,Car,1.9,Lane Crossing
2025-03-29 19:44:06.515,NAJNRU,0.54,Car,1.9,Lane Crossing
2025-03-29 19:44:06.515,NAJNRU,0.54,Car,2.9,Lane Crossing
2025-03-29 19:44:07.445,MIVSU,0.30,Unknown,0.0,None
2025-03-29 19:44:07.445,NAIJNRU,0.62,Unknown,0.0,None
2025-03-29 19:44:07.445,MIVSU,0.30,Car,2.3,Lane Crossing
2025-03-29 19:44:07.445,NAIJNRU,0.62,Car,1.9,Lane Crossing
2025-03-29 19:44:07.445,NAIJNRU,0.62,Car,2.8,Lane Crossing
2025-03-29 19:44:08.349,SOMSISUC,0.01,Unknown,0.0,None
2025-03-29 19:44:08.349,BNAAIRU,0.01,Unknown,0.0,None
2025-03-29 19:44:08.349,SOMSISUC,0.01,Car,2.3,Lane Crossing
2025-03-29 19:44:08.349,BNAAIRU,0.01,Car,2.5,Lane Crossing
2025-03-29 19:44:08.349,BNAAIRU,0.01,Car,2.9,Lane Crossing
2025-03-29 19:44:09.141,MSSU,0.19,Unknown,0.0,None
2025-03-29 19:44:09.141,ENANAT,0.02,Unknown,0.0,None
2025-03-29 19:44:09.141,MSSU,0.19,Car,2.5,Lane Crossing
2025-03-29 19:44:09.141,ENANAT,0.02,Car,2.7,Lane Crossing
2025-03-29 19:44:09.141,ENANAT,0.02,Car,3.2,Lane Crossing
2025-03-29 19:44:09.796,CSSU,0.17,Unknown,0.0,None
2025-03-29 19:44:09.796,NAIJNRU,0.24,Unknown,0.0,None
